,text,llm,prompting
686,Я завжди у захваті від якості їжі в фаст-фудах. Це так корисно та смачно.,gemini,fewshot
687,"Звичайно, давайте всі просто ігнорувати проблему соціальної нерівності. Вона ж сама собою вирішиться.",gemini,fewshot
688,"Я просто обожнюю, коли в громадському транспорті хтось голосно розмовляє по телефону, розповідаючи про свої особисті проблеми.",gemini,fewshot
689,"Ця книга була настільки захоплюючою, що я ледве зміг дочитати її до кінця.",gemini,fewshot
690,Мій улюблений вид відпочинку - це стояти в черзі в магазині. Це так розслабляє.,gemini,fewshot
691,"Я завжди мріяв працювати на роботі, де мене не цінують і постійно критикують.",gemini,fewshot
692,"Звичайно, давайте всі просто продовжувати споживати бездумно. Навіщо нам думати про майбутнє?",gemini,fewshot
693,"Я просто обожнюю, коли мій комп'ютер зависає в найвідповідальніший момент.",gemini,fewshot
694,"Цей політик такий чесний та порядний. Я повністю довіряю йому. (Після того, як політик був спійманий на корупції)",gemini,fewshot
695,Я завжди з нетерпінням чекаю понеділка. Це мій улюблений день тижня.,gemini,fewshot
696,"Звичайно, давайте всі просто продовжувати використовувати одноразовий пластик. Навіщо нам піклуватися про екологію?",gemini,fewshot
697,"Я просто обожнюю, коли хтось поруч зі мною голосно жує жуйку.",gemini,fewshot
698,Ця пісня така мелодійна та глибока. Я можу слухати її на повторі цілий день. (Після прослуховування примітивної поп-пісні),gemini,fewshot
699,Мій улюблений вид транспорту - це переповнений автобус в годину пік.,gemini,fewshot
700,Я завжди мріяв жити в місті з жахливою екологією та постійними заторами.,gemini,fewshot
701,"Звичайно, давайте всі просто продовжувати вірити в теорії змови. Навіщо нам факти та докази?",gemini,fewshot
702,"Я просто обожнюю, коли хтось розповідає мені про свої сни.",gemini,fewshot
703,"Ця картина така реалістична, що я ледве можу відрізнити її від дитячого малюнка.",gemini,fewshot
704,"Мій улюблений вид мистецтва - це абстрактний експресіонізм. Я завжди розумію, що автор хотів сказати.",gemini,fewshot
705,Я завжди з нетерпінням чекаю візиту до стоматолога. Це так приємно та розслабляюче.,gemini,fewshot
706,"Звичайно, давайте всі просто продовжувати ігнорувати проблему бідності. Вона ж сама собою зникне.",gemini,fewshot
707,"Я просто обожнюю, коли хтось розповідає мені про свої хвороби.",gemini,fewshot
708,"Ця стаття була настільки інформативною, що я нічого з неї не зрозумів.",gemini,fewshot
709,Мій улюблений вид розваг - це перегляд телевізійних новин. Це так оптимістично та надихаюче.,gemini,fewshot
710,"Я завжди мріяв працювати на роботі, де мені платять копійки.",gemini,fewshot
711,"Звичайно, давайте всі просто продовжувати жити в кредит. Навіщо нам думати про фінансову відповідальність?",gemini,fewshot
712,"Я просто обожнюю, коли хтось поруч зі мною голосно чхає.",gemini,fewshot
713,"Ця їжа така смачна, що я ледве можу її прожувати.",gemini,fewshot
714,Мій улюблений вид відпочинку - це лежати на дивані цілий день і дивитися телевізор.,gemini,fewshot
715,Я завжди мріяв жити в країні з корумпованим урядом та низьким рівнем життя.,gemini,fewshot
716,"Звичайно, давайте всі просто продовжувати вірити в гороскопи. Навіщо нам наука та логіка?",gemini,fewshot
717,"Я просто обожнюю, коли хтось розповідає мені про свої досягнення.",gemini,fewshot
718,"Ця музика така заспокійлива, що я ледве можу стриматися, щоб не заснути.",gemini,fewshot
719,"Мій улюблений вид спорту - це спостерігати, як росте трава.",gemini,fewshot
720,"Я завжди мріяв мати роботу, де мені доводиться носити незручний одяг.",gemini,fewshot
721,"О, так, звичайно, 5-годинна презентація про нові скріпки - саме те, що мені потрібно в п'ятницю ввечері.",gemini,fewshot
722,Знову запізнився на роботу через пробки? Як несподівано!,gemini,fewshot
723,"Моя улюблена частина дня - коли принтер зажовує папір, а потім розриває його на дрібні шматочки. Просто медитативний досвід.",gemini,fewshot
724,"Так, звичайно, я прочитав і зрозумів всі 50 сторінок договору дрібним шрифтом. Хто ж не любить юридичний жаргон?",gemini,fewshot
725,"Ага, цей фільм був настільки захоплюючим, що я мало не заснув тричі.",gemini,fewshot
726,"Мій телефон розрядився саме тоді, коли я збиралася зробити ідеальне селфі. Життя несправедливе.",gemini,fewshot
727,Знову дощ? Яка несподіванка в листопаді.,gemini,fewshot
728,"Обожнюю, коли інтернет раптово вирішує не працювати. Це додає такого гострого адреналіну до мого дня.",gemini,fewshot
729,"Я б з радістю допомогла тобі з переїздом, але, на жаль, у мене алергія на важкі речі.",gemini,fewshot
730,"Так, я впевнений, що ця нова дієта, яка складається з повітря та води, допоможе мені схуднути.",gemini,fewshot
731,Знову загубив ключі? Я такий талановитий!,gemini,fewshot
732,"Цей політик настільки чесний, що його слова можна записувати в підручники з фантастики.",gemini,fewshot
733,"Обожнюю, коли реклама перериває найцікавіший момент фільму. Це як ковток свіжого повітря.",gemini,fewshot
734,"Цей ремонт в квартирі такий легкий, що я вже встиг пошкодити всі стіни, стелю і підлогу.",gemini,fewshot
735,"Моя улюблена вправа - це біг з перешкодами, особливо коли перешкоди - це мої власні ноги.",gemini,fewshot
736,"Так, звичайно, я пам'ятаю, що ти мені розповідав три години тому. Моя пам'ять як у слона, особливо коли справа стосується нудних речей.",gemini,fewshot
737,"Обожнюю, коли касир в супермаркеті розмовляє по телефону, поки я стою в черзі. Це так ввічливо.",gemini,fewshot
738,"Так, я впевнений, що цей крем від зморшок зробить мене 20-річним.",gemini,fewshot
739,"Моя машина настільки економна, що витрачає бензин, навіть коли стоїть на місці.",gemini,fewshot
740,"Я б з радістю пішов на цю вечірку, але, на жаль, у мене запланована зустріч з моїм диваном.",gemini,fewshot
741,"Так, звичайно, я вірю, що ти виграв мільйон в лотерею. Розкажи ще, як ти вчора літав на Марс.",gemini,fewshot
742,"Обожнюю, коли мій будильник дзвонить о 5 ранку в суботу. Це найкращий спосіб почати вихідні.",gemini,fewshot
743,"Ця інструкція настільки зрозуміла, що я вже зламав три прилади, намагаючись її виконати.",gemini,fewshot
744,"Мій улюблений вид спорту - це спостереження за тим, як сохне фарба.",gemini,fewshot
745,"Так, звичайно, я з радістю послухаю твою історію про те, як ти спіймав найбільшу рибу в світі, використовуючи лише голі руки.",gemini,fewshot
746,"Обожнюю, коли люди говорять зі мною, коли я в навушниках. Це так приємно відчувати себе невидимим.",gemini,fewshot
747,"Так, я впевнений, що ця нова стрижка мені дуже личить. Як то кажуть, краса вимагає жертв.",gemini,fewshot
748,Моя улюблена пісня - це звук будівельних робіт за вікном.,gemini,fewshot
749,"Знову набрав зайві кілограми? Мабуть, повітря занадто калорійне.",gemini,fewshot
750,"Я б з радістю пішов на прогулянку, але, на жаль, у мене запланована зустріч з моїм холодильником.",gemini,fewshot
751,"Так, звичайно, я вірю, що ти вмієш читати думки. Розкажи, про що я зараз думаю?",gemini,fewshot
752,"Обожнюю, коли в автобусі всі дивляться на мене, коли я їм бутерброд. Це як бути зіркою.",gemini,fewshot
753,"Цей тест був настільки легкий, що я відповів на всі питання, не читаючи їх.",gemini,fewshot
754,Мій улюблений колір - це колір бруду після дощу.,gemini,fewshot
755,"Так, звичайно, я з радістю позичу тобі гроші. Просто скажи, коли ти плануєш їх повернути - у цьому столітті чи в наступному?",gemini,fewshot
756,"Обожнюю, коли мій комп'ютер зависає саме тоді, коли я майже закінчив важливу роботу. Це так мотивує.",gemini,fewshot
757,"Так, я впевнений, що ця нова мода на одяг з мішків для сміття - це саме те, що мені потрібно.",gemini,fewshot
758,Моя улюблена тварина - це пилосос. Він такий пухнастий і ласкавий.,gemini,fewshot
759,"Знову проспав? Як несподівано! Мабуть, годинник зламався.",gemini,fewshot
760,"Я б з радістю допоміг тобі з цим завданням, але, на жаль, у мене алергія на роботу.",gemini,fewshot
761,"Так, звичайно, я вірю, що ти можеш передбачати майбутнє. Розкажи, що буде на обід?",gemini,fewshot
762,"Обожнюю, коли люди кашляють і чхають прямо на мене в громадському транспорті. Це так гігієнічно.",gemini,fewshot
763,"Цей фільм жахів був настільки страшний, що я мало не помер... від сміху.",gemini,fewshot
764,Мій улюблений звук - це скрегіт нігтів по дошці.,gemini,fewshot
765,"Так, звичайно, я з радістю піду з тобою на цей концерт важкої металу. Я просто обожнюю, коли мені дзвенить у вухах ще три дні після цього.",gemini,fewshot
766,"Обожнюю, коли мої сусіди влаштовують вечірки до ранку. Це так допомагає мені розслабитися і заснути.",gemini,fewshot
767,"Так, я впевнений, що ця нова дієта, яка складається з шоколаду та чіпсів, допоможе мені схуднути.",gemini,fewshot
768,Моя улюблена книга - це інструкція з експлуатації пральної машини. Вона така захоплююча і повна несподіваних поворотів сюжету.,gemini,fewshot
769,"О, так, звичайно, 5-годинна промова про велич Росії – саме те, що потрібно, щоб вирішити всі економічні проблеми країни.",gemini,fewshot
770,"Я просто обожнюю, коли політики обіцяють \'стабільність\' – це зазвичай означає, що наступні 20 років нічого не зміниться.",gemini,fewshot
771,"З нетерпінням чекаю на новий iPhone 15, сподіваюся, цього разу вони нарешті виправлять проблему з тим, що він не може варити борщ.",gemini,fewshot
772,"Так розчулює, коли люди пишуть пости про \'духовність\' і \'самопізнання\', а потім у коментарях обливають брудом всіх, хто з ними не згоден.",gemini,fewshot
773,"Звичайно, найкращий спосіб боротися з корупцією – це створити ще одне державне агентство з боротьби з корупцією.",gemini,fewshot
774,"Обожнюю новини про те, як черговий чиновник \'випадково\' придбав віллу на Лазурному узбережжі. Напевно, просто пощастило.",gemini,fewshot
775,"Так зворушливо, коли люди пишуть: \'Я поза політикою\', а потім репостять пропагандистські статті.",gemini,fewshot
776,"Не розумію, чому всі скаржаться на ціни на бензин. Просто потрібно більше працювати і менше їздити.",gemini,fewshot
777,"З нетерпінням чекаю на черговий шедевр російського кінематографа про війну. Напевно, цього разу вони нарешті знімуть фільм, де німці перемагають.",gemini,fewshot
778,"Так приємно бачити, як люди згуртовуються в інтернеті, щоб обговорювати важливі питання, наприклад, чий борщ смачніший.",gemini,fewshot
779,"Обожнюю, коли люди використовують фрази типу \'не все так однозначно\' і \'треба розглядати питання з різних сторін\', щоб виправдати свою відсутність позиції.",gemini,fewshot
780,"Звичайно, найкращий спосіб вирішити проблему безпритульних тварин – це просто їх всіх перестріляти.",gemini,fewshot
781,"Так мило, коли чоловіки пояснюють жінкам, як народжувати дітей і виховувати їх.",gemini,fewshot
782,"З нетерпінням чекаю на новий сезон \'Холостяка\'. Нарешті дізнаємося, яка з 25 однакових дівчат з накачаними губами виграє серце 30-річного мачо.",gemini,fewshot
783,"Обожнюю, коли люди пишуть пости про те, як важливо бути собою, а потім використовують тонну фільтрів на своїх фотографіях.",gemini,fewshot
784,"Звичайно, найкращий спосіб покращити освіту – це збільшити кількість годин з патріотичного виховання.",gemini,fewshot
785,"Так зворушливо, коли зірки шоу-бізнесу розповідають про свої \'важкі\' життя.",gemini,fewshot
786,"Не розумію, чому всі скаржаться на якість медичного обслуговування. Просто потрібно більше молитися і менше хворіти.",gemini,fewshot
787,"З нетерпінням чекаю на нові санкції проти Росії. Напевно, цього разу вони нарешті змусять Путіна піти у відставку.",gemini,fewshot
788,"Обожнюю, коли люди пишуть: \'Я не дивлюся телевізор\', а потім детально обговорюють останній випуск \'Пусть говорят\'.",gemini,fewshot
789,"Звичайно, найкращий спосіб боротися з тероризмом – це бомбити країни Близького Сходу.",gemini,fewshot
790,"Так мило, коли люди пишуть пости про те, як важливо любити свою країну, а потім емігрують при першій же можливості.",gemini,fewshot
791,"Не розумію, чому всі скаржаться на затори. Просто потрібно раніше вставати і їхати на роботу на велосипеді.",gemini,fewshot
792,"З нетерпінням чекаю на нову книгу Дар'ї Донцової. Напевно, цього разу вона нарешті розкриє таємницю, як писати по 10 книг на рік.",gemini,fewshot
793,"Обожнюю, коли люди пишуть пости про те, як важливо бути толерантним, а потім у коментарях обзивають всіх \'ліберастами\' і \'ватниками\'.",gemini,fewshot
794,"Звичайно, найкращий спосіб вирішити демографічну проблему – це заборонити аборти і розлучення.",gemini,fewshot
795,"Так зворушливо, коли люди пишуть: \'Я не феміністка, але...\', а потім висловлюють феміністичні погляди.",gemini,fewshot
796,"Не розумію, чому всі скаржаться на низькі зарплати. Просто потрібно знайти більш високооплачувану роботу.",gemini,fewshot
797,"З нетерпінням чекаю на новий сезон \'Битви екстрасенсів\'. Нарешті дізнаємося, хто з шарлатанів найкраще вміє дурити людей.",gemini,fewshot
798,"Обожнюю, коли люди пишуть пости про те, як важливо бути позитивним, а потім скиглять про те, як все погано.",gemini,fewshot
799,"Звичайно, найкращий спосіб покращити екологію – це побудувати ще один завод.",gemini,fewshot
800,"Так мило, коли люди пишуть: \'Я не расист, але...\', а потім висловлюють расистські погляди.",gemini,fewshot
801,"Не розумію, чому всі скаржаться на якість продуктів. Просто потрібно купувати більш дорогі продукти.",gemini,fewshot
802,"З нетерпінням чекаю на новий випуск новин на Першому каналі. Нарешті дізнаємося, як Захід загниває і як Росія всіх перемагає.",gemini,fewshot
803,"Обожнюю, коли люди пишуть пости про те, як важливо бути скромним, а потім хваляться своїми досягненнями.",gemini,fewshot
804,"Звичайно, найкращий спосіб боротися з наркоманією – це просто посадити всіх наркоманів у в'язницю.",gemini,fewshot
805,"Так зворушливо, коли люди пишуть: \'Я не гомофоб, але...\', а потім висловлюють гомофобні погляди.",gemini,fewshot
806,"Не розумію, чому всі скаржаться на відсутність свободи слова. Просто потрібно говорити те, що хоче чути влада.",gemini,fewshot
807,"З нетерпінням чекаю на нову військову парад. Нарешті подивимося на нові танки і ракети, які ніколи не будуть використані.",gemini,fewshot
808,"Обожнюю, коли люди пишуть пости про те, як важливо допомагати іншим, а потім проходять повз жебрака на вулиці.",gemini,fewshot
809,"Звичайно, найкращий спосіб вирішити проблему пенсій – це просто підвищити пенсійний вік.",gemini,fewshot
810,"Так мило, коли люди пишуть: \'Я не сексист, але...\', а потім висловлюють сексистські погляди.",gemini,fewshot
811,"Не розумію, чому всі скаржаться на якість доріг. Просто потрібно купити джип.",gemini,fewshot
812,"З нетерпінням чекаю на нові вибори. Нарешті дізнаємося, хто з кандидатів найкраще вміє брехати.",gemini,fewshot
813,"Обожнюю, коли люди пишуть пости про те, як важливо бути чесним, а потім обманюють на кожному кроці.",gemini,fewshot
814,"Звичайно, найкращий спосіб боротися з бідністю – це просто роздавати гроші багатим.",gemini,fewshot
815,"Так зворушливо, коли люди пишуть: \'Я не націоналіст, але...\', а потім висловлюють націоналістичні погляди.",gemini,fewshot
816,"Ой, звісно, бо 500 років гноблення – це ж просто міф, вигаданий українцями від нудьги.",gemini,fewshot
817,"Так-так, \'спеціальна військова операція\' йде чітко за планом. Вже півтора року. Гениально!",gemini,fewshot
818,"Російська культура така багата і різноманітна: балалайка, матрьошка, танк, ракета... Що ще забули?",gemini,fewshot
819,"Я просто обожнюю, коли росіяни розповідають про \'братні народи\', погрожуючи ядерною зброєю.",gemini,fewshot
820,"Ой, ну звісно, всі навколо фашисти, тільки росіяни – білі та пухнасті миротворці.",gemini,fewshot
821,"З нетерпінням чекаю нових \'чесних\' виборів у Росії. Цікаво, цього разу Путін переможе з 120% голосів?",gemini,fewshot
822,"Російські ЗМІ такі об'єктивні та правдиві! Аж дивно, чому їх блокують у всьому світі.",gemini,fewshot
823,"Російська економіка просто процвітає! Санкції? Ні, не чули.",gemini,fewshot
824,"Впевнений, що \'аналоговнєт\' – це просто шедевр інженерної думки, а не жалюгідна копія.",gemini,fewshot
825,Знову НАТО наступає! Треба терміново захищати Росію... десь під Варшавою.,gemini,fewshot
826,"Нічого страшного, що росіяни бідні. Зате вони духовні та скрєпні!",gemini,fewshot
827,Я так пишаюся російським кіно! Особливо \'шедеврами\' на кшталт \'Движение вверх\' та \'Т-34.\',gemini,fewshot
828,"Так, звісно, російська армія – друга у світі. Після української.",gemini,fewshot
829,"Російські хакери такі круті, що навіть втручаються у вибори в США... з телефону бабусі в Саратові.",gemini,fewshot
830,"А ви знали, що всі наукові відкриття насправді зробили росіяни? Просто злісні іноземці вкрали їхні ідеї.",gemini,fewshot
831,"З нетерпінням чекаю, коли Росія нарешті полетить на Марс. Напевно, на \'Ладі\' з дерев\'яним кермом.",gemini,fewshot
832,Російські олігархи такі чесні та працьовиті! Всі свої мільярди вони заробили чесною працею.,gemini,fewshot
833,Російська медицина – найкраща у світі! Особливо якщо ти друг Путіна.,gemini,fewshot
834,Обожнюю російський сервіс! Особливо хамство продавців та вічні черги.,gemini,fewshot
835,Російські дороги – це просто казка! Особливо якщо ти любиш екстремальне водіння.,gemini,fewshot
836,"З нетерпінням чекаю нових \'гучних\' заяв Лаврова. Цікаво, цього разу він звинуватить у всіх бідах інопланетян?",gemini,fewshot
837,"Ой, ну звісно, це не російська армія обстрілює мирні міста. Це українці самі себе бомблять.",gemini,fewshot
838,Російська мова така багата і виразна! Особливо якщо ти знаєш 100500 матюків.,gemini,fewshot
839,"Я просто обожнюю російські закони! Особливо ті, які забороняють все, що не подобається владі.",gemini,fewshot
840,Російська освіта – найкраща у світі! Особливо якщо ти хочеш навчитися писати доноси.,gemini,fewshot
841,"З нетерпінням чекаю, коли Росія нарешті виграє чемпіонат світу з футболу. Напевно, за допомогою допінгу.",gemini,fewshot
842,Російська наука така передова! Особливо у галузі розробки нових видів пропаганди.,gemini,fewshot
843,Російська культура така толерантна та відкрита! Особливо до ЛГБТ та інших меншин.,gemini,fewshot
844,"Ой, ну звісно, це не Росія розв\'язала війну. Це все Захід провокує.",gemini,fewshot
845,"З нетерпінням чекаю, коли Росія нарешті стане демократичною країною. Напевно, після того, як рак на горі свисне.",gemini,fewshot
846,"Російські спортсмени такі чесні та чисті! Особливо ті, які постійно попадаються на допінгу.",gemini,fewshot
847,"Російська економіка така стабільна! Особливо курс рубля, який постійно падає.",gemini,fewshot
848,"З нетерпінням чекаю, коли Росія нарешті відмовиться від нафти та газу. Напевно, коли вони закінчаться.",gemini,fewshot
849,"Російська політика така прозора та чесна! Особливо вибори, які завжди фальсифікуються.",gemini,fewshot
850,"Російська армія така сильна, що навіть боїться воювати з українськими бабусями.",gemini,fewshot
851,"З нетерпінням чекаю, коли Росія нарешті приєднається до ЄС. Напевно, коли пекло замерзне.",gemini,fewshot
852,"Російські автомобілі – це просто шедевр! Особливо \'Лада Калина\', яка розвалюється після першої тисячі кілометрів.",gemini,fewshot
853,"Російські чиновники такі чесні та непідкупні! Особливо ті, які живуть у палацах та їздять на \'Майбахах\'.",gemini,fewshot
854,Російська мода така стильна та елегантна! Особливо спортивні костюми з трьома смужками.,gemini,fewshot
855,"З нетерпінням чекаю, коли Росія нарешті виграє Євробачення. Напевно, з піснею про велич Путіна.",gemini,fewshot
856,"Російська кухня така різноманітна та смачна! Особливо борщ, який насправді український.",gemini,fewshot
857,"Російські фільми такі глибокі та змістовні! Особливо ті, де головний герой – бандит або спецназівець.",gemini,fewshot
858,"З нетерпінням чекаю, коли Росія нарешті стане правовою державою. Напевно, після того, як свині полетять.",gemini,fewshot
859,"Російські міста такі чисті та доглянуті! Особливо ті, де сміття вивозять раз на місяць.",gemini,fewshot
860,"Російська музика така мелодійна та гармонійна! Особливо російський шансон, який прославляє злочинців та тюремне життя.",gemini,fewshot
861,"З нетерпінням чекаю, коли Росія нарешті стане лідером світової економіки. Напевно, після того, як винайде машину часу та повернеться в СРСР.",gemini,fewshot
862,"Звісно, бо краще 3 години чекати на маршрутку, ніж 15 хвилин пішки пройтися.",gemini,fewshot
863,"О, так, заповнювати 100500 форм для отримання довідки – це вершина ефективності.",gemini,fewshot
864,Ти просто геній! Залити клавіатуру кавою – найкращий спосіб почати робочий день.,gemini,fewshot
865,"Звісно, розповідай мені більше про свою дієту, поки я тут доїдаю залишки піци.",gemini,fewshot
866,"Так, так, цей політик точно знає, що робить. Він же жодного разу не брехав.",gemini,fewshot
867,"Я просто обожнюю, коли мій будильник дзвонить о 5 ранку в суботу. Це ж найкращий початок вихідного.",gemini,fewshot
868,"Цей фільм такий захопливий, що я ледь не заснув тричі.",gemini,fewshot
869,Твоя зачіска просто неймовірна! Де ти навчився так майстерно ставити волосся дибки?,gemini,fewshot
870,"Цей звіт такий зрозумілий, що я почуваюся повним ідіотом, намагаючись його розібрати.",gemini,fewshot
871,Я просто мрію опинитися в заторі на годину в спеку. Це ж так розслабляє.,gemini,fewshot
872,"Ця музика така мелодійна, що в мене вуха в трубочку згортаються.",gemini,fewshot
873,"Ти такий відповідальний, що напевно вже тричі перевірив, чи вимкнув праску.",gemini,fewshot
874,"Ця книга така захоплива, що я не можу дочекатися, щоб нарешті її дочитати і забути.",gemini,fewshot
875,"Звісно, розповідай мені більше про свої проблеми. Мені ж зовсім нічим зайнятися.",gemini,fewshot
876,"Я так люблю, коли інтернет вимикається саме тоді, коли я намагаюся здати важливий проект.",gemini,fewshot
877,"Ця погода просто ідеальна для прогулянки! Особливо коли дощ ллє, як з відра, а вітер зносить з ніг.",gemini,fewshot
878,"Ти такий пунктуальний, що напевно вже запізнився на зустріч.",gemini,fewshot
879,"Ця реклама така переконлива, що я вже біжу купувати цей непотріб.",gemini,fewshot
880,"Я просто обожнюю, коли мої сусіди влаштовують ремонт о 7 ранку в неділю.",gemini,fewshot
881,"Ця страва така смачна, що я ледь не зламав зуба об неї.",gemini,fewshot
882,"Звісно, розповідай мені більше про свої успіхи. Мені ж зовсім не заздрісно.",gemini,fewshot
883,"Я так люблю, коли мій телефон розряджається в найвідповідальніший момент.",gemini,fewshot
884,"Цей жарт такий смішний, що я ледь не помер від сміху.",gemini,fewshot
885,"Ти такий розумний, що напевно знаєш, як розв'язати всі проблеми світу.",gemini,fewshot
886,"Ця сукня така елегантна, що я почуваюся в ній, як мішок з картоплею.",gemini,fewshot
887,"Я просто обожнюю, коли мій комп'ютер зависає саме тоді, коли я майже закінчив роботу.",gemini,fewshot
888,"Ця пісня така популярна, що я вже чую її уві сні.",gemini,fewshot
889,"Звісно, розповідай мені більше про свої плани на майбутнє. Мені ж зовсім не цікаво.",gemini,fewshot
890,"Я так люблю, коли мій начальник дає мені купу роботи в п'ятницю ввечері.",gemini,fewshot
891,"Цей серіал такий захопливий, що я не можу дочекатися, щоб нарешті його подивитися і забути.",gemini,fewshot
892,"Ти такий товариський, що напевно маєш тисячі друзів.",gemini,fewshot
893,"Я просто обожнюю, коли мій будильник не дзвонить, і я просинаюся запізно на роботу.",gemini,fewshot
894,"Ця кава така смачна, що я ледь не виплюнув її.",gemini,fewshot
895,"Звісно, розповідай мені більше про свої подорожі. Мені ж зовсім не сумно сидіти вдома.",gemini,fewshot
896,"Я так люблю, коли мій літак затримується на кілька годин.",gemini,fewshot
897,"Цей подарунок такий корисний, що я не знаю, куди його подіти.",gemini,fewshot
898,"Ти такий спортивний, що напевно щодня бігаєш марафон.",gemini,fewshot
899,"Я просто обожнюю, коли мій телефон падає на асфальт екраном вниз.",gemini,fewshot
900,"Цей торт такий легкий, що я з'їв цілий і навіть не помітив.",gemini,fewshot
901,"Звісно, розповідай мені більше про своїх дітей. Мені ж зовсім не нудно.",gemini,fewshot
902,"Я так люблю, коли мій автомобіль ламається посеред дороги.",gemini,fewshot
903,"Ця вистава така цікава, що я ледь не заснув тричі.",gemini,fewshot
904,"Ти такий стильний, що напевно одягаєшся з закритими очима.",gemini,fewshot
905,"Я просто обожнюю, коли мій інтернет працює зі швидкістю равлика.",gemini,fewshot
906,"Ця музика така гучна, що я ледь не оглух.",gemini,fewshot
907,"Звісно, розповідай мені більше про своїх домашніх улюбленців. Мені ж зовсім не байдуже.",gemini,fewshot
908,"Я так люблю, коли мій будильник дзвонить посеред ночі.",gemini,fewshot
909,"Цей фільм такий страшний, що я ледь не помер від сміху.",gemini,fewshot
910,"Ти такий терплячий, що напевно можеш чекати вічність.",gemini,fewshot
911,"Звичайно, я прокинувся о 6 ранку в суботу, щоб поприбирати. А що ще робити в цей прекрасний день?",gemini,oneshot
912,"О, знову черга на касі з 20 людей, а працює одна каса. Обожнюю ефективне використання мого часу.",gemini,oneshot
913,"Так, я просто обожнюю, коли мій інтернет вирішує влаштувати собі відпустку саме під час важливої онлайн-зустрічі.",gemini,oneshot
914,"Нічого страшного, що ти спізнився на годину. Я все одно нічого кращого не робив, ніж чекати на тебе.",gemini,oneshot
915,"Я просто у захваті від того, як у маршрутці всі туляться один до одного у годину пік. Таке відчуття єднання з народом!",gemini,oneshot
916,"Так, давай ще раз відкладемо зустріч. У мене ж часу вагон.",gemini,oneshot
917,Зима - моя улюблена пора року. Особливо люблю ожеледицю та мокрі ноги.,gemini,oneshot
918,"Обожнюю рекламу, особливо коли вона перериває мій улюблений фільм кожні 5 хвилин.",gemini,oneshot
919,"Я в повному захваті від того, як ціни на продукти ростуть, а моя зарплата - ні.",gemini,oneshot
920,"Чудово, знову дощ. Саме те, що потрібно для підняття настрою.",gemini,oneshot
921,"Так, я просто обожнюю, коли мій телефон розряджається у найневідповідніший момент.",gemini,oneshot
922,"Нічого, що ти забув про мій день народження. Головне, що ти про себе не забуваєш.",gemini,oneshot
923,Я просто мріяв про чергову нараду в понеділок зранку. Вона надихає мене на весь тиждень.,gemini,oneshot
924,"О, так, цей політик точно знає, як зробити наше життя кращим. Адже він обіцяє це вже 10 років.",gemini,oneshot
925,"Звичайно, я з радістю позичу тобі гроші. Я ж банк.",gemini,oneshot
926,"Я просто обожнюю, коли мені телефонують з незнайомих номерів та мовчать у трубку.",gemini,oneshot
927,"Так, давай зустрінемося о 7 ранку в неділю. Адже я так люблю рано вставати.",gemini,oneshot
928,"Я в захваті від того, як мій будильник щоранку влаштовує мені концерт.",gemini,oneshot
929,"Чудово, знову проспав. Це ж так додає адреналіну у початок дня.",gemini,oneshot
930,"Обожнюю, коли в громадському транспорті хтось голосно розмовляє по телефону.",gemini,oneshot
931,"Так, я просто мріяв про цей штраф за паркування. Це ж так приємно витрачати гроші.",gemini,oneshot
932,"Я в захваті від того, як швидко летить час, особливо коли я стою в черзі.",gemini,oneshot
933,"Чудово, знову запізнився на роботу. Керівництво буде в захваті.",gemini,oneshot
934,"Обожнюю, коли мені розповідають спойлери до фільму, який я ще не бачив.",gemini,oneshot
935,"Так, я просто мріяв про цей ремонт у сусідів, який починається о 7 ранку.",gemini,oneshot
936,"Я в захваті від того, як швидко росте курс долара. Це ж так піднімає мою купівельну спроможність.",gemini,oneshot
937,"Чудово, знову застудився. Це ж так зміцнює імунітет.",gemini,oneshot
938,"Обожнюю, коли в мене ламається техніка саме тоді, коли вона мені найбільше потрібна.",gemini,oneshot
